BARCODE SCAN,Category,Sub Category,Title,Description,Quantity,Type,Price,Shipping Profile,Gradable,Offerable,Hazmat,Image URL 1,Image URL 2,Image URL 3,Image URL 4,Image URL 5,Image URL 6,Image URL 7,Image URL 8
4983164194272,Action Figures,Anime Figures,A Certain Scientific Railgun T Relax Time Misaki Shokuhou,New/sealed,1,Auction,25,1-2 lbs,,,Not Hazmat,https://i.ibb.co/r3HjYvC/1907e29d-2edd-45d9-a838-a1d062dc185b.png,,,,,,,
251073701451700900,Action Figures,Anime Figures,Angel Beats! - Tenshi - Coreful Figure (Taito),New/sealed,2,Auction,25,1-2 lbs,,,Not Hazmat,https://i.ibb.co/Smm9CsY/1974406-4f8db.png,,,,,,,
4580779532095,Action Figures,Anime Figures,Bocchi the Rock! Desktop x Decorate Collections Hitori Goto Figure,New/sealed,3,Auction,25,12-15 oz,,,Not Hazmat,https://i.ibb.co/FxP8qJQ/0a610dc8-1c35-4565-a66c-4818fd849fb9.png,,,,,,,
4580779532132,Action Figures,Anime Figures,Bocchi the Rock! Nijika Ijichi Premium Perching Figure,New/sealed,5,Auction,25,12-15 oz,,,Not Hazmat,https://i.ibb.co/9vwzXHR/14bdbeef-5a53-48c6-9632-91c8d962596c.png,,,,,,,
4570001511615,Action Figures,Anime Figures,Chainsaw Man B-Style Makima (Bunny Ver.) 1/4 Scale Figure,New/sealed,1,Auction,300,1-2 lbs,,,Not Hazmat,https://i.ibb.co/YLjp6dF/a8956fce-e5a0-4378-8743-80f76861b556.png,,,,,,,
CSM00001,Action Figures,Anime Figures,Chainsaw Man Q Posket Makima,New/sealed,1,Auction,20,12-15 oz,,,Not Hazmat,https://i.ibb.co/Pcy3wV0/c8c2f7b2-89de-4e45-ac29-55366dc8d0e6.png,,,,,,,
4535123835643,Action Figures,Anime Figures,Code Geass: Lelouch of the Re;surrection G.E.M. Series C.C. (Pilot Suit Ver.) Figure,New/sealed,1,Auction,200,1-2 lbs,,,Not Hazmat,https://i.ibb.co/n3pw3Nb/857a39b3-2a80-4257-aa1c-0af9d21637e2.png,,,,,,,
4580416946346,Action Figures,Anime Figures,Darling in the Franxx Pop Up Parade Ichigo,New/sealed,4,Auction,30,1-2 lbs,,,Not Hazmat,https://i.ibb.co/6nSW0Jm/947c5310-b745-43b8-ba4e-3517dff62622.png,,,,,,,
4580416945578,Action Figures,Anime Figures,Darling in the Franxx Pop Up Parade Zero Two,New/sealed,4,Auction,35,1-2 lbs,,,Not Hazmat,https://i.ibb.co/Rv63WYg/9fce60df-e853-4041-a422-20c9a42bbc8f.png,,,,,,,
251073701451662400,Action Figures,Anime Figures,Date a Live IV Kurumi Tokisaki (Mandarin Swimwear Ver.) Coreful Figure (Renewal Edition),New/sealed,2,Auction,25,12-15 oz,,,Not Hazmat,https://i.ibb.co/FK4CQjV/a503b754-bab5-44d0-8a0a-74687d586086.png,,,,,,,
190526031517,Action Figures,Anime Figures,Demon Slayer: Kimetsu no Yaiba ArtFX J Kyoujurou Rengoku (Purgatory Anjuro) Figure,New/sealed,2,Auction,100,1-2 lbs,,,Not Hazmat,https://i.ibb.co/xMThzMp/3840ac10-c66b-437d-ab22-acb0863600cf.png,,,,,,,
190526038578,Action Figures,Anime Figures,Demon Slayer: Kimetsu no Yaiba ArtFX J Shinobu Kocho Figure,New/sealed,2,Auction,100,1-2 lbs,,,Not Hazmat,https://i.ibb.co/F6FyMg5/ae1fbb2a-f0f2-4900-b012-d2a0e8cad4ad.png,,,,,,,
662248842318,Action Figures,Anime Figures,Demon Slayer: Kimetsu no Yaiba Book Marker Shinobu Kocho Figure,New/sealed,2,Auction,25,1-2 lbs,,,Not Hazmat,https://i.ibb.co/jGbhngy/95874caa-ea55-4167-a034-8350a473b6b6.png,,,,,,,
